	"lang"
{
	"Language"		"Russian"

		"DOTA_Tooltip_ability_android_pocket_factory_spawn_goblin3"	"Сильный удар"
		"DOTA_Tooltip_ability_android_pocket_factory_spawn_goblin3_Description"	"Дает небольшой шанс оглушить противника на полсекунды."

		"DOTA_Tooltip_ability_android_armor"	"Броня"
		"DOTA_Tooltip_ability_android_armor_Description"	"Блокирует некоторый урон, нанесенный Андроиду. Минимально возможный урон - 15 ед."
		"DOTA_Tooltip_ability_android_armor_damage_block"	"БЛОКИРУЕМЫЙ УРОН:"

		"DOTA_Tooltip_ability_android_cluster_rockets"	"Ракетный Удар"
		"DOTA_Tooltip_ability_android_cluster_rockets_Description"	"Пуск ракет по указанной области. Ракеты наносят урон всем наземным противникам, оказавшимся поблизости, и оглушают их на 1 секунду."
		"DOTA_Tooltip_ability_android_cluster_rockets_damage"	"УРОН ОДНОЙ РАКЕТЫ:"
		"DOTA_Tooltip_ability_android_cluster_rockets_projectile_count"	"КОЛИЧЕСТВО РАКЕТ:"

		"DOTA_Tooltip_ability_witch_doctor_negative_energy"	"Негативная Энергия"
		"DOTA_Tooltip_ability_witch_doctor_negative_energy_Description"	"Поток негативной энергии, наносящий всем, стоящим на его пути, урон."
		"DOTA_Tooltip_ability_witch_doctor_negative_energy_damage"	"УРОН:"
		"DOTA_Tooltip_ability_witch_doctor_negative_energy_damage_scepter"	"УРОН С ПОСОХОМ:"
		"DOTA_Tooltip_ability_witch_doctor_negative_energy_projectile_distance"	"ДАЛЬНОСТЬ ПРОХОЖДЕНИЯ:"
		"DOTA_Tooltip_ability_witch_doctor_negative_energy_start_width"	"НАЧАЛЬНАЯ ШИРИНА:"
		"DOTA_Tooltip_ability_witch_doctor_negative_energy_end_width"	"КОНЕЧНАЯ ШИРИНА:"
		"DOTA_Tooltip_ability_witch_doctor_negative_energy_aghanim_description" "Увеличивается урон."

		"DOTA_Tooltip_ability_witch_doctor_frost_armor"	"Ледяная Броня"
		"DOTA_Tooltip_ability_witch_doctor_frost_armor_Description"	"Окружает указанного воина ледяной броней, повышающей его защиту и сковывающей движения врагов, атакующих этого воина, на %slow_duration% секунд."
		"DOTA_Tooltip_ability_witch_doctor_frost_armor_armor_bonus"	"ДОПОЛНИТЕЛЬНАЯ БРОНЯ:"
		"DOTA_Tooltip_ability_witch_doctor_frost_armor_armor_bonus_scepter"	"ДОПОЛНИТЕЛЬНАЯ БРОНЯ С ПОСОХОМ:"
		"DOTA_Tooltip_ability_witch_doctor_frost_armor_duration"	"ДЛИТЕЛЬНОСТЬ:"
		"DOTA_Tooltip_ability_witch_doctor_frost_armor_duration_scepter"	"ДЛИТЕЛЬНОСТЬ С ПОСОХОМ:"
		"DOTA_Tooltip_ability_witch_doctor_frost_armor_movement_slow_percent"	"%ЗАМЕДЛЕНИЕ ПЕРЕДВИЖЕНИЯ:"
		"DOTA_Tooltip_ability_witch_doctor_frost_armor_attack_slow"	"ЗАМЕДЛЕНИЕ АТАКИ:"
		"DOTA_Tooltip_ability_witch_doctor_frost_armor_manacost_scepter"	"ЗАТРАТЫ МАНЫ С ПОСОХОМ:"
		"DOTA_Tooltip_ability_witch_doctor_frost_armor_aghanim_description" "Увеличивает защиту и длительнось, но также увеличивает затраты маны."

		"DOTA_Tooltip_modifier_witch_doctor_frost_armor_debuff"	"Ледяная Броня"
		"DOTA_Tooltip_modifier_witch_doctor_frost_armor_debuff_Description"	"Скорость передвижения снижена на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%, а скорость атаки — на %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."

		"DOTA_Tooltip_modifier_witch_doctor_frost_armor_buff"	"Ледяная Броня"
		"DOTA_Tooltip_modifier_witch_doctor_frost_armor_buff_Description"	"Броня этого воина увеличена на %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS% единиц, и он замедляет атакующих противников."	

		"DOTA_Tooltip_ability_witch_doctor_discharge"	"Разряд"
		"DOTA_Tooltip_ability_witch_doctor_discharge_Description"	"Все враги в радиусе 300 единиц получают урон и отталкиваются назад. Союзники в этом же радиусе восполняют своё здоровье."
		"DOTA_Tooltip_ability_witch_doctor_discharge_damage"	"УРОН:"
		"DOTA_Tooltip_ability_witch_doctor_discharge_heal"	"ЛЕЧЕНИЕ:"
		"DOTA_Tooltip_ability_witch_doctor_discharge_distance"	"ДАЛЬНОСТЬ ОТТАЛКИВАНИЯ:"
		"DOTA_Tooltip_ability_witch_doctor_discharge_air_time"	"ДЛИТЕЛЬНОСТЬ ОТТАЛКИВАНИЯ:"		

		"DOTA_Tooltip_ability_witch_doctor_regeneration"	"Регенерация"
		"DOTA_Tooltip_ability_witch_doctor_regeneration_Description"	"Знахарь полностью восполняет здоровье и ману всех своих союзников."

		"DOTA_Tooltip_ability_frost_lord_frost_breath"	"Ледяное Дыхание"
		"DOTA_Tooltip_ability_frost_lord_frost_breath_Description"	"Аст выдыхает поток холода на противников и наносит им сначала некоторый начальный урон, а затем ежесекундный."
		"DOTA_Tooltip_ability_frost_lord_frost_breath_damage"	"НАЧАЛЬНЫЙ УРОН:"
		"DOTA_Tooltip_ability_frost_lord_frost_breath_damage_scepter"	"НАЧАЛЬНЫЙ УРОН С ПОСОХОМ:"
		"DOTA_Tooltip_ability_frost_lord_frost_breath_damage_per_second"	"УРОН В СЕКУНДУ:"
		"DOTA_Tooltip_ability_frost_lord_frost_breath_damage_per_second_scepter"	"УРОН В СЕКУНДУ С ПОСОХОМ:"
		"DOTA_Tooltip_ability_frost_lord_frost_breath_duration"	"ДЛИТЕЛЬНОСТЬ:"
		"DOTA_Tooltip_ability_frost_lord_frost_breath_duration_scepter"	"ДЛИТЕЛЬНОСТЬ С ПОСОХОМ:"
		"DOTA_Tooltip_ability_frost_lord_frost_breath_manacost_scepter"	"ЗАТРАТЫ МАНЫ С ПОСОХОМ:"
		"DOTA_Tooltip_ability_frost_lord_frost_breath_aghanim_description"	"Увеличивается урон."

		"DOTA_Tooltip_modifier_frost_lord_frost_breath_debuff"	"Ледяное Дыхание"
		"DOTA_Tooltip_modifier_frost_lord_frost_breath_debuff_Description"	"Этот воин получает урон."

		"DOTA_Tooltip_ability_frost_lord_cold"	"Прикосновение Холода"
		"DOTA_Tooltip_ability_frost_lord_cold_Description"	"Указанные противники теряют скорость перемещения и боя и получают ежесекундный урон в течение 8 секунд. Если враг находится под действием заклинания Ледяное Дыхание, то он будет каждую секунду получать дополнительный урон."
		"DOTA_Tooltip_ability_frost_lord_cold_damage"	"УРОН В СЕКУНДУ:"
		"DOTA_Tooltip_ability_frost_lord_cold_add_damage"	"ДОПОЛНИТЕЛЬНЫЙ УРОН В СЕКУНДУ:"
		"DOTA_Tooltip_ability_frost_lord_cold_movement_speed_slow"	"%ЗАМЕДЛЕНИЕ ПЕРЕМЕЩЕНИЯ:"
		"DOTA_Tooltip_ability_frost_lord_cold_attack_speed_slow"	"ЗАМЕДЛЕНИЕ АТАКИ:"
		"DOTA_Tooltip_ability_frost_lord_cold_duration"	"ДЛИТЕЛЬНОСТЬ:"
		"DOTA_Tooltip_ability_frost_lord_cold_radius"	"РАДИУС:"

		"DOTA_Tooltip_modifier_frost_lord_cold"	"Прикосновение Холода"
		"DOTA_Tooltip_modifier_frost_lord_cold_Description"	"Этот воин замедлен и получает урон."

		"DOTA_Tooltip_ability_frost_lord_freezing"	"Обморожение"
		"DOTA_Tooltip_ability_frost_lord_freezing_Description"	"Враги, атакуя Повелителя Холода имеют шанс в %freezing_chance%%% замерзнуть и получить урон."
		"DOTA_Tooltip_ability_frost_lord_freezing_stun_duration"	"ДЛИТЕЛЬНОСТЬ:"
		"DOTA_Tooltip_ability_frost_lord_freezing_damage"	"УРОН:"

		"DOTA_Tooltip_modifier_frost_lord_freezing_debuff"	"Обморожение"
		"DOTA_Tooltip_modifier_frost_lord_freezing_debuff_Description"	"Этот воин заморожен."

		"DOTA_Tooltip_ability_frost_lord_ice"	"Ледяное Ядро"
		"DOTA_Tooltip_ability_frost_lord_ice_Description"	"В указанной точке возникает ледяное ядро. Каждую секунду оно выбирает случайного противника поблизости и взрывает его, нанося урон всем около цели. Задетые юниты также замедляются."
		"DOTA_Tooltip_ability_frost_lord_ice_damage"	"УРОН:"
		"DOTA_Tooltip_ability_frost_lord_ice_damage_scepter"	"УРОН С ПОСОХОМ:"
		"DOTA_Tooltip_ability_frost_lord_ice_movement_slow"	"%ЗАМЕДЛЕНИЕ ПЕРЕМЕЩЕНИЯ:"
		"DOTA_Tooltip_ability_frost_lord_ice_slow_duration"	"ДЛИТЕЛЬНОСТЬ ЗАМЕДЛЕНИЯ:"
		"DOTA_Tooltip_ability_frost_lord_ice_duration"	"ВРЕМЯ ЖИЗНИ ЛЬДА:"	
		"DOTA_Tooltip_ability_frost_lord_ice_duration_scepter"	"ВРЕМЯ ЖИЗНИ ЛЬДА С ПОСОХОМ:"		
		"DOTA_Tooltip_ability_frost_lord_ice_manacost_scepter"	"ЗАТРАТЫ МАНЫ С ПОСОХОМ:"			
		"DOTA_Tooltip_ability_frost_lord_ice_aghanim_description"	"Увеличиваются время жизни и урон."

		"DOTA_Tooltip_modifier_frost_lord_ice_debuff"	"Ледяное Ядро"
		"DOTA_Tooltip_modifier_frost_lord_ice_debuff_Description"	"Этот воин замедлен."			

		"DOTA_Tooltip_ability_serpent_queen_ball_lightning"	"Шаровые Молнии"
		"DOTA_Tooltip_ability_serpent_queen_ball_lightning_Description"	"Вокруг Королевы Змей появляются шаровые молнии, которые наносят урон врагам при прикосновении. Герои получают в два раза меньше урона."
		"DOTA_Tooltip_ability_serpent_queen_ball_lightning_locusts"	"КОЛИЧЕСТВО МОЛНИЙ:"
		"DOTA_Tooltip_ability_serpent_queen_ball_lightning_locust_damage"	"УРОН:"
		"DOTA_Tooltip_ability_serpent_queen_ball_lightning_duration"	"ДЛИТЕЛЬНОСТЬ:"		
		
		"DOTA_Tooltip_modifier_locust_swarm"	"Шаровые Молнии"		

		"DOTA_Tooltip_ability_serpent_queen_heavenly_power"	"Небесная Сила"
		"DOTA_Tooltip_ability_serpent_queen_heavenly_power_Description"	"Королева Змей получает дополнительную ловкость на некоторое время."
		"DOTA_Tooltip_ability_serpent_queen_heavenly_power_bonus_agility" "ДОПОЛНИТЕЛЬНАЯ ЛОВКОСТЬ:"
		"DOTA_Tooltip_ability_serpent_queen_heavenly_power_duration" "ДЛИТЕЛЬНОСТЬ:"

		"DOTA_Tooltip_modifier_serpent_queen_heavenly_power"	"Небесная Сила"
		"DOTA_Tooltip_modifier_serpent_queen_heavenly_power_Description"	"У Королевы Змей увеличена ловкость."

		"DOTA_Tooltip_ability_serpent_queen_accuracy"	"Меткость"
		"DOTA_Tooltip_ability_serpent_queen_accuracy_Description"	"Королева Змей кратковременно оглушает противников при атаке и наносит им урон."
		"DOTA_Tooltip_ability_serpent_queen_accuracy_bash_stun"	"ДЛИТЕЛЬНОСТЬ ОГЛУШЕНИЯ:"
		
		"DOTA_Tooltip_ability_serpent_queen_anger"	"Злоба"
		"DOTA_Tooltip_ability_serpent_queen_anger_Description"	"Королева Змей дает дополнительный урон всем союзникам в радиусе 1000."
		"DOTA_Tooltip_ability_serpent_queen_anger_bonus_damage"	"ДОПОЛНИТЕЛЬНЫЙ УРОН:"
		"DOTA_Tooltip_ability_serpent_queen_anger_duration"	"ДЛИТЕЛЬНОСТЬ:"		
		
		"DOTA_Tooltip_modifier_serpent_queen_anger"	"Злоба"
		"DOTA_Tooltip_modifier_serpent_queen_anger_Description"	"Урон этого юнита увеличен."			

		"DOTA_Tooltip_ability_beastmaster_dominate"	"Подчинение"
		"DOTA_Tooltip_ability_beastmaster_dominate_Description"	"Переманивает указанных врагов, которые не являются героями или боссами, на 10 секунд. Если врага нельзя переманить, то ему нанесется урон."
		"DOTA_Tooltip_ability_beastmaster_dominate_radius"	"РАДИУС:"
		"DOTA_Tooltip_ability_beastmaster_dominate_damage"	"УРОН:"	
		"DOTA_Tooltip_ability_beastmaster_dominate_Note0"	"За переманенивание врагов даются опыт и золото."

		"DOTA_Tooltip_ability_beastmaster_brutality"	"Озверение"
		"DOTA_Tooltip_ability_beastmaster_brutality_Description"	"Повелитель Зверей вселяет в воинов поблизости невероятною ярость, дающую скорость атаки и перемещения на 8 секунд."
		"DOTA_Tooltip_ability_beastmaster_brutality_bonus_attack_speed"	"ДОПОЛНИТЕЛЬНЯ СКОРОСТЬ АТАКИ:"	
		"DOTA_Tooltip_ability_beastmaster_brutality_bonus_movement_speed"	"%ДОПОЛНИТЕЛЬНАЯ СКОРОСТЬ ПЕРЕМЕЩЕНИЯ:"

		"DOTA_Tooltip_modifier_beastmaster_brutality"	"Озверение"
		"DOTA_Tooltip_modifier_beastmaster_brutality_Description"	"У этого юнита увеличена скорость."

		"DOTA_Tooltip_ability_beastmaster_help"	"Помощь"
		"DOTA_Tooltip_ability_beastmaster_help_Description"	"Каждое существо Рексара, умирая, восполняет здоровье героя в зависимости от максимального здоровья этого существа."
		"DOTA_Tooltip_ability_beastmaster_help_heal_percent"	"%ЗДОРОВЬЯ В ЛЕЧЕНИЕ:"

		"DOTA_Tooltip_ability_beastmaster_beasts"	"Звери"
		"DOTA_Tooltip_ability_beastmaster_beasts_Description"	"Открывает магические врата, впускающие в мир зверей. Набор зверей увеличивается с уровнем.<br>УРОВЕНЬ 1 - Белый Волк и Повелитель Джунглей.<br>УРОВЕНЬ 2 - Белый Волк, Повелитель Джунглей и Феникс.<br>УРОВЕНЬ 3 - Белый Волк, Повелитель Джунглей, Феникс и Медведь."
		"DOTA_Tooltip_ability_beastmaster_beasts_unit_count"	"КОЛИЧЕСТВО ЗВЕРЕЙ:"

		"DOTA_Tooltip_ability_white_wolf_bm_howl"	"Рёв"
		"DOTA_Tooltip_ability_white_wolf_bm_howl_Description"	"Увеличивает урон всех союзников в радиусе 500 на 30%% на 30 секунд."

		"DOTA_Tooltip_modifier_white_wolf_bm_howl"	"Рёв"
		"DOTA_Tooltip_modifier_white_wolf_bm_howl_Description"	"Урон этого воина увеличен."

		"DOTA_Tooltip_ability_white_wolf_bm_crit"  "Критический Удар"
		"DOTA_Tooltip_ability_white_wolf_bm_crit_Description"	"Дает шанс в 20%% нанести больше урона при атаке."
		"DOTA_Tooltip_ability_white_wolf_bm_crit_crit_mult"	"%КРИТИЧЕСКИЙ УРОН:"

		"DOTA_Tooltip_ability_jungle_stalker_bm_rejuvenation"  "Омоложение"
		"DOTA_Tooltip_ability_jungle_stalker_bm_rejuvenation_Description"  "Вылечивает указанного воина на 500 единиц здоровья за 9 секунд."

		"DOTA_Tooltip_jungle_stalker_bm_rejuvenation"  "Омоложение"
		"DOTA_Tooltip_jungle_stalker_bm_rejuvenation_Description" "У этого воина восстанавливается здоровье."

		"DOTA_Tooltip_ability_jungle_stalker_bm_crit"  "Критический Удар"
		"DOTA_Tooltip_ability_jungle_stalker_bm_crit_Description"	"Дает шанс в 30%% нанести больше урона при атаке."
		"DOTA_Tooltip_ability_jungle_stalker_bm_crit_crit_mult"	"%КРИТИЧЕСКИЙ УРОН:"

		"DOTA_Tooltip_ability_phoenix_bm_spawn_egg"  "Яйцо Феникса"
		"DOTA_Tooltip_ability_phoenix_bm_spawn_egg_Description"	"При смерти феникс оставляет яйцо. Если яйцо остается в живых в течение 10 секунд, то из него рождается новый феникс."

		"DOTA_Tooltip_ability_phoenix_bm_phoenix_fire"  "Огонь Феникса"
		"DOTA_Tooltip_ability_phoenix_bm_phoenix_fire_Description"	"Посылает луч в случайного врага, наносящий 20 единиц единиц урона, после чего враг в течение 10 секунд получает по 2 единицы урона."

		"DOTA_Tooltip_modifier_phoenix_bm_phoenix_fire"  "Огонь Феникса"
		"DOTA_Tooltip_modifier_phoenix_bm_phoenix_fire_Description"	"Этот воин получает 2 единицы урона каждую секунду."

		"DOTA_Tooltip_ability_vampire_life_drain"	"Высосать Жизнь"
		"DOTA_Tooltip_ability_vampire_life_drain_Description"	"Вампир начинает высасывать жизнь из всех врагов в радиусе 375, нанося им урон и вылечивая себя. Урон зависит от количества <font color='#cc0605'>пунктов жажды</font> Вампира. Также наносится некоторое постоянное значение урона."
		"DOTA_Tooltip_ability_vampire_life_drain_damage_per_second"	"ПОСТОЯННЫЙ УРОН В СЕКУНДУ:"
		"DOTA_Tooltip_ability_vampire_life_drain_damage_multiplier"	"МНОЖИТЕЛЬ ПУНКТОВ ЖАЖДЫ ДЛЯ УРОНА:"
		"DOTA_Tooltip_ability_vampire_life_drain_duration"	"ДЛИТЕЛЬНОСТЬ:"

		"DOTA_Tooltip_modifier_vampire_life_drain"	"Высосать Жизнь"

		"DOTA_Tooltip_ability_vampire_lifesteal"	"Вампиризм"
		"DOTA_Tooltip_ability_vampire_lifesteal_Description"	"Вампир получает вампиризм и способность накапливать <font color='#cc0605'>пункты жажды</font>. Герой получает 1 пункт жажды за убийство. Количество пунктов жажды ограничено. Вампир тратит все пункты жажды при произнесении заклинания.<br>Данный вампиризм не является уникальны модификатором атаки, однако он перекрывает вампиризм от Копья Аланита или Меча Крови."
		"DOTA_Tooltip_ability_vampire_lifesteal_lifesteal_percentage"	"%ВАМПИРИЗМ:"
		"DOTA_Tooltip_ability_vampire_lifesteal_thirst_points_max"	"ЛИМИТ ПУНКТОВ ЖАЖДЫ:"

		"DOTA_Tooltip_modifier_vampire_lifesteal"	"Вампиризм"
		"DOTA_Tooltip_modifier_vampire_lifesteal_Description"	"Количество <font color='#cc0605'>пунктов жажды</font>"

		"DOTA_Tooltip_ability_vampire_thirst"	"Жажда"
		"DOTA_Tooltip_ability_vampire_thirst_Description"	"Когда Вампир чувствует в радиусе 500 врага со здоровьем, ниже 30%%, он получает дополнительные скорость и <font color='#cc0605'>пункты жажды</font>."
		"DOTA_Tooltip_ability_vampire_thirst_thirst_points_bonus"	"ДОПОЛНИТЕЛЬНЫЕ ПУНКТЫ ЖАЖДЫ:"
		"DOTA_Tooltip_ability_vampire_thirst_attack_speed_bonus"	"ДОПОЛНИТЕЛЬНАЯ СКОРОСТЬ АТАКИ:"

		"DOTA_Tooltip_modifier_vampire_thirst_bonus"	"Жажда"
		"DOTA_Tooltip_modifier_vampire_thirst_bonus_Description"	"Скорость атаки Вампира увеличена."

		"DOTA_Tooltip_ability_vampire_transformation"	"Превращение"
		"DOTA_Tooltip_ability_vampire_transformation_Description"	"Вампир наносит урон врагам в раиусе 300 и превращается в летучую мышь с увеличенными здоровьем, скоростью атаки и перемещения и регенерацией. Вампир также начинает наносить урон по площади и лечиться при атаке. Начальный урон, регенерация, урон по площади и лечение зависят от <font color='#cc0605'>пунктов жажды</font> (ПЖ)."
		"DOTA_Tooltip_ability_vampire_transformation_base_attack_time"		"БАЗОВОЕ ВРЕМЯ АТАКИ:"
		"DOTA_Tooltip_ability_vampire_transformation_bonus_movement_speed"	"ДОПОЛНИТЕЛЬНАЯ СКОРОСТЬ ПЕРЕМЕЩЕНИЯ:"
		"DOTA_Tooltip_ability_vampire_transformation_bonus_range"			"ДОПОЛНИТЕЛЬНАЯ ДАЛЬНОСТЬ АТАКИ:"
		"DOTA_Tooltip_ability_vampire_transformation_tp_regen_mult"			"МНОЖИТЕЛЬ ПЖ ДЛЯ РЕГЕНЕРАЦИИ:"
		"DOTA_Tooltip_ability_vampire_transformation_tp_aoe_dmg_mult"		"МНОЖИТЕЛЬ ПЖ ДЛЯ АТАКИ ПО ПЛОЩАДИ:"
		"DOTA_Tooltip_ability_vampire_transformation_tp_transformation_dmg_mult"	"МНОЖИТЕЛЬ ПЖ ДЛЯ НАЧАЛЬНОГО УРОНА:"
		"DOTA_Tooltip_ability_vampire_transformation_tp_attack_heal_mult"			"МНОЖИТЕЛЬ ПЖ ДЛЯ ЛЕЧЕНИЯ:"
		"DOTA_Tooltip_ability_vampire_transformation_bonus_health"			"ДОПОЛНИТЕЛЬНОЕ ЗДОРОВЬЕ:"
		"DOTA_Tooltip_ability_vampire_transformation_duration"				"ДЛИТЕЛЬНОСТЬ:"

		"DOTA_Tooltip_modifier_vampire_transformation"	"Превращение"

		"DOTA_Tooltip_ability_keeper_of_the_grove_roots"	"Шипастые Лозы"
		"DOTA_Tooltip_ability_keeper_of_the_grove_roots_Description"	"Лозы с шипами оплетают противников, сковывая их движения и нанося им урон каждую секунду."
		"DOTA_Tooltip_ability_keeper_of_the_grove_roots_damage_per_second"	"УРОН В СЕКУНДУ:"
		"DOTA_Tooltip_ability_keeper_of_the_grove_roots_root_duration"	"ДЛИТЕЛЬНОСТЬ:"
		"DOTA_Tooltip_ability_keeper_of_the_grove_roots_root_hero_duration"	"ДЛИТЕЛЬНОСТЬ НА ГЕРОЯХ:"	
		"DOTA_Tooltip_ability_keeper_of_the_grove_roots_radius"	"РАДИУС:"

		"DOTA_Tooltip_modifier_keeper_of_the_grove_roots"	"Шипастые Лозы"
		"DOTA_Tooltip_modifier_keeper_of_the_grove_roots_Description"	"Этот воин получает ежесекундный урон."

		"DOTA_Tooltip_ability_keeper_of_the_grove_treants"	"Энты"
		"DOTA_Tooltip_ability_keeper_of_the_grove_treants_Description"	"Хранитель Рощи призывает себе в помощь мощных энтов. У Энтов с первого уровня есть способность \"Единство\", \"Циклон\" со второго и \"Перерождение\" с третьего.<br>При вызове второй пары энтов, первая пара умрет, отдав жизненные силы хозяину."
		"DOTA_Tooltip_ability_keeper_of_the_grove_treants_treant_health"	"ЗДОРОВЬЕ ЭНТОВ:"
		"DOTA_Tooltip_ability_keeper_of_the_grove_treants_treant_damage"	"УРОН ЭНТОВ:"

		"DOTA_Tooltip_ability_keeper_of_the_grove_treants_unity"	"Единство"
		"DOTA_Tooltip_ability_keeper_of_the_grove_treants_unity_Description"	"Энт умирая, отдавая свои жизненные силы Хранителю Рощи."

		"DOTA_Tooltip_ability_keeper_of_the_grove_treants_cyclone"	"Циклон"
		"DOTA_Tooltip_ability_keeper_of_the_grove_treants_cyclone_Description"	"Выбранный противник подбрасывается ураганом в небо на 2 секунды. При приземлении враг получит 200 магического урона."

		"DOTA_Tooltip_ability_keeper_of_the_grove_treants_reborn"	"Перерождение"
		"DOTA_Tooltip_ability_keeper_of_the_grove_treants_reborn_Description"	"При смерти энта на его месте создаются два молодых энта."	

		"DOTA_Tooltip_ability_keeper_of_the_grove_guardian_spirit"	"Дух-Хранитель"
		"DOTA_Tooltip_ability_keeper_of_the_grove_guardian_spirit_Description"	"Призывает Духа-Хранителя с увеличенными характеристивками и заклинанием Природные Силы."
		"DOTA_Tooltip_ability_keeper_of_the_grove_guardian_spirit_bonus_stats"	"ДОПОЛНИТЕЛЬНЫЕ ХАРАКТЕРИСТИКИ:"
		"DOTA_Tooltip_ability_keeper_of_the_grove_guardian_spirit_bonus_stats_scepter"	"ДОПОЛНИТЕЛЬНЫЕ ХАРАКТЕРИСТИКИ С ПОСОХОМ:"
		"DOTA_Tooltip_ability_keeper_of_the_grove_guardian_spirit_lifetime"	"ВРЕМЯ ЖИЗНИ:"
		"DOTA_Tooltip_ability_keeper_of_the_grove_guardian_spirit_lifetime_scepter"	"ВРЕМЯ ЖИЗНИ С ПОСОХОМ:"
		"DOTA_Tooltip_ability_keeper_of_the_grove_guardian_spirit_aghanim_description"	"Увеличивает дополнительные характеристики и время жизни."

		"DOTA_Tooltip_ability_keeper_of_the_grove_guardian_spirit_narure_forces"	"Природные Силы"
		"DOTA_Tooltip_ability_keeper_of_the_grove_guardian_spirit_narure_forces_Description"	"Увеличивает броню и регенерацию у всех союзников в радиусе 500."
		"DOTA_Tooltip_ability_keeper_of_the_grove_guardian_spirit_narure_forces_bonus_armor"	"ДОПОЛНИТЕЛЬНАЯ БРОНЯ:"
		"DOTA_Tooltip_ability_keeper_of_the_grove_guardian_spirit_narure_forces_bonus_regen"	"ДОПОЛНИТЕЛЬНАЯ РЕГЕНЕРАЦИЯ:"
		"DOTA_Tooltip_ability_keeper_of_the_grove_guardian_spirit_narure_forces_duration"		"ДЛИТЕЛЬНОСТЬ:"

		"DOTA_Tooltip_modifier_guardian_spirit_narure_forces"	"Природные Силы"
		"DOTA_Tooltip_modifier_guardian_spirit_narure_forces_Description"	"У этого юнита увеличены броня и регенерация."

		"DOTA_Tooltip_ability_keeper_of_the_grove_natures_curse"	"Проклятие Природы"
		"DOTA_Tooltip_ability_keeper_of_the_grove_natures_curse_Description"	"Хранитель Рощи проклинает противников, находящихся рядом с указанной целью. Проклятые враги ежесекундно получают урон. А если проклятый враг ближнего боя, то он теряет способность атаковать."
		"DOTA_Tooltip_ability_keeper_of_the_grove_natures_curse_damage_per_second"	"УРОН В СЕКУНДУ:"
		"DOTA_Tooltip_ability_keeper_of_the_grove_natures_curse_duration"	"ДЛИТЕЛЬНОСТЬ:"
		"DOTA_Tooltip_ability_keeper_of_the_grove_natures_curse_hero_duration"	"ДЛИТЕЛЬНОСТЬ НА ГЕРОЯХ:"	
		"DOTA_Tooltip_ability_keeper_of_the_grove_natures_curse_Note0"	"Улучшается Сферическим Посохом. Увеличивается урон."

		"DOTA_Tooltip_ability_keeper_of_the_grove_natures_curse"	"Проклятие Природы"
		"DOTA_Tooltip_ability_keeper_of_the_grove_natures_curse_Description"	"Хранитель Рощи проклинает противников в указанной области. Проклятые враги ежесекундно получают урон. А если проклятый враг ближнего боя, то он теряет способность атаковать."
		"DOTA_Tooltip_ability_keeper_of_the_grove_natures_curse_damage_per_second"	"УРОН В СЕКУНДУ:"
		"DOTA_Tooltip_ability_keeper_of_the_grove_natures_curse_damage_per_second_scepter"	"УРОН В СЕКУНДУ С ПОСОХОМ:"
		"DOTA_Tooltip_ability_keeper_of_the_grove_natures_curse_duration"	"ДЛИТЕЛЬНОСТЬ:"
		"DOTA_Tooltip_ability_keeper_of_the_grove_natures_curse_hero_duration"	"ДЛИТЕЛЬНОСТЬ С ПОСОХОМ:"
		"DOTA_Tooltip_ability_keeper_of_the_grove_natures_curse_cooldown_scepter"	"ПЕРЕЗАРЯДКА С ПОСОХОМ:"	
		"DOTA_Tooltip_ability_keeper_of_the_grove_natures_curse_aghanim_description"	"Увеличивает урон и снижает перезарядку."

		"DOTA_Tooltip_modifier_keeper_of_the_grove_natures_curse_damage"	"Проклятие Природы"
		"DOTA_Tooltip_modifier_keeper_of_the_grove_natures_curse_damage_Description" "Этот воин получает ежесекундный урон."

		"DOTA_Tooltip_modifier_keeper_of_the_grove_natures_curse_disarm"	"Проклятие Природы"
		"DOTA_Tooltip_modifier_keeper_of_the_grove_natures_curse_disarm_Description" "Этот воин обезоружен."

		"DOTA_Tooltip_ability_dark_knight_dark_forces"	"Тёмные Силы"
		"DOTA_Tooltip_ability_dark_knight_dark_forces_Description"	"Вокруг Морта в случайном месте в радиусе %radius% каждые 0.5 секунд проходят потоки тьмы, наносящие некоторый урон, зависящий от текущей мены героя, в радиусе %coil_radius%."
		"DOTA_Tooltip_ability_dark_knight_dark_forces_mana_percentage"	"%МАНЫ В УРОН:"
		"DOTA_Tooltip_ability_dark_knight_dark_forces_duration"	"ДЛИТЕЛЬНОСТЬ:"

		"DOTA_Tooltip_modifier_dark_knight_dark_forces"	"Тёмные Силы"

		"DOTA_Tooltip_ability_dark_knight_dark_energy_zone"	"Зона Вечной Энергии"
		"DOTA_Tooltip_ability_dark_knight_dark_energy_zone_Description"	"Тёмный Рыцарь создает в указанной области зону вечной энергии. Если использовать заклинание в этой зоне, то мана за него потратится только при выходе из неё. Также у юнитов, находящихся под действием заклинания, снижение потери маны увеличивается до %mana_loss_reduction%%%."
		"DOTA_Tooltip_ability_dark_knight_dark_energy_zone_duration"	"ДЛИТЕЛЬНОСТЬ:"
